,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,streaming_service_type
367,The Babysitter: Killer Queen,2020,0,73,1,0,0,0,Netflix
368,Hardcore Henry,2015,18,73,1,0,0,0,Netflix
369,Tig Notaro: Happy To Be Here,2018,16,73,1,0,0,0,Netflix
370,Spelling the Dream,2020,0,73,1,0,0,0,Netflix
371,Knock Down the House,2019,7,73,1,0,0,0,Netflix
372,Resident Evil: Extinction,2007,18,73,1,1,0,0,Netflix
373,Polar,2019,18,73,1,0,0,0,Netflix
374,Saving Capitalism,2017,7,73,1,0,0,0,Netflix
375,The Untold Tales of Armistead Maupin,2017,0,73,1,0,0,0,Netflix
376,The Mitchells vs. The Machines,2021,7,73,1,0,0,0,Netflix
377,Spenser Confidential,2020,18,73,1,0,0,0,Netflix
378,Psychokinesis,2018,0,73,1,0,0,0,Netflix
379,Monsters vs Aliens,2009,7,73,1,0,0,0,Netflix
380,Twilight,2008,13,73,1,0,1,0,Netflix
381,Self/less,2015,13,73,1,0,0,0,Netflix
382,The Highwaymen,2019,18,73,1,0,0,0,Netflix
383,ParaNorman,2012,7,73,1,0,0,0,Netflix
384,Holidate,2020,0,73,1,0,0,0,Netflix
385,Fear Street Part Two: 1978,2021,18,73,1,0,0,0,Netflix
386,Pee-wee's Big Holiday,2016,7,73,1,0,0,0,Netflix
387,Gunpowder Milkshake,2021,18,73,1,0,0,0,Netflix
388,"Michael Bolton's Big, Sexy Valentine's Day Special",2017,18,73,1,0,0,0,Netflix
389,I Am Not Your Negro,2017,18,73,1,1,0,0,Netflix
390,Midnight Special,2016,13,73,1,0,0,0,Netflix
391,Layla M.,2016,0,73,1,0,0,0,Netflix
392,Homefront,2013,18,73,1,0,0,0,Netflix
393,The Squid and the Whale,2005,18,73,1,0,0,0,Netflix
394,Comedian,2002,18,73,1,0,0,0,Netflix
395,No Escape,2015,18,73,1,0,0,0,Netflix
396,Mercury 13,2018,0,73,1,0,0,0,Netflix
397,The Professor and the Madman,2019,0,73,1,0,0,0,Netflix
398,Asperger's Are Us,2016,0,73,1,0,0,0,Netflix
399,The Garden of Words,2013,13,73,1,0,0,0,Netflix
400,Fractured,2019,18,73,1,0,1,0,Netflix
401,The Queen,2006,13,73,1,0,0,0,Netflix
402,The Whole Nine Yards,2000,18,72,1,0,0,0,Netflix
403,E-Team,2014,0,72,1,0,0,0,Netflix
404,The Discovery,2017,18,72,1,0,0,0,Netflix
405,The Strangers,2008,18,72,1,0,0,0,Netflix
406,Penguins of Madagascar,2014,7,72,1,0,0,0,Netflix
407,She's Out of My League,2010,18,72,1,0,1,0,Netflix
408,Voyeur,2017,18,72,1,0,0,0,Netflix
409,It Comes at Night,2017,18,72,1,0,0,0,Netflix
410,The Manchurian Candidate,2004,18,72,1,0,1,0,Netflix
411,Bon Cop Bad Cop 2,2017,0,72,1,0,0,0,Netflix
412,Hot Rod,2007,13,72,1,0,1,0,Netflix
413,The BFG,2016,7,72,1,0,0,0,Netflix
414,Sunday's Illness,2018,13,72,1,0,0,0,Netflix
